|WLHV        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |ANNANDALE-ON-HUDSON      |NY |US |BMLED-20121106AAZ   |-.     kW |0.91   kW |0.0     |116.2   |173238     |N |42 |5  |55.3  |W |73  |43 |48.4  |TRI-STATE PUBLIC COMMUNICATIONS, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|260.7  m|108974    |0.      |-       |22.8   m|1523348   |47d205d1c4404e1daddec1b6063ebeb7        |
|-           |88.1  MHz |FM |201 |DA  |-                   |B1 |-  |CP     |BELMONT                  |NY |US |0000166140          |5.     kW |5.     kW |221.0   |221.0   |766920     |N |42 |2  |30    |W |78  |0  |25    |CALVARY CHAPEL OF RUSSELL                                                   |   0.00 km |   0.00 mi |  0.00 deg |823.   m|823.0  m|6902019008006|0.      |1005511 |66.    m|166140    |25076ff37ca4ed29017ccd8e5f492479        |
|WXBA        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |BRENTWOOD                |NY |US |BLED-19881221KB     |0.18   kW |0.18   kW |29.0    |29.0    |6726       |N |40 |46 |19.3  |W |73  |15 |17.4  |BRENTWOOD UNION FREE SCHOOL DISTRICT                                        |   0.00 km |   0.00 mi |  0.00 deg |52.    m|52.0   m|-         |-       |-       |26.    m|121993    |3b7ac2d7fb2f4bfca782c1b6063ebeb7        |
|WCWP        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |BROOKVILLE               |NY |US |BMLED-19930422KA    |0.1    kW |0.1    kW |58.0    |58.0    |38332      |N |40 |49 |0.3   |W |73  |35 |47.4  |LONG ISLAND UNIVERSITY                                                      |   0.00 km |   0.00 mi |  0.00 deg |89.    m|89.0   m|-         |-       |-       |32.    m|185660    |e3edf36327a1413fb76bc1b6063ebeb7        |
|W201BE      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |BUFFALO                  |NY |US |0000212843          |0.08   kW |0.08   kW |0.0     |0.0     |76995      |N |42 |55 |56.1  |W |78  |47 |6.1   |PRIORITY RADIO, INC.                                                        |   0.00 km |   0.00 mi |  0.00 deg |230.8  m|230.8  m|129327    |0.      |1240109 |29.9   m|212843    |25076f9186f2886f0187007cc7b10243        |
|WSLZ        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |CAPE VINCENT             |NY |US |BLED-20100823ACJ    |2.     kW |2.     kW |92.0    |92.0    |176912     |N |44 |6  |58.2  |W |76  |20 |19.8  |THE ST. LAWRENCE UNIVERSITY                                                 |   0.00 km |   0.00 mi |  0.00 deg |169.   m|169.0  m|97668     |0.      |1006951 |73.    m|1396449   |aee2b2a53b2146f28fd4c1b6063ebeb7        |
|WVVC-FM     |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |DOLGEVILLE               |NY |US |BLED-20150505AAI    |0.15   kW |0.15   kW |206.0   |206.0   |171935     |N |43 |6  |9.3   |W |74  |56 |25.6  |NORTHEAST GOSPEL BROADCASTING INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |500.   m|500.0  m|-         |-       |1002469 |99.    m|1677528   |86b2e1c3708f43c4888bc1b6063ebeb7        |
|WMTQ        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |ELMIRA                   |NY |US |BLED-20110217ABY    |0.09   kW |0.09   kW |372.0   |372.0   |175837     |N |42 |6  |22.0  |W |76  |52 |16.0  |HOLY FAMILY COMMUNICATIONS                                                  |   0.00 km |   0.00 mi |  0.00 deg |756.   m|756.0  m|-         |-       |1010439 |236.   m|1418218   |c43f3e8b98f24f16a2b3c1b6063ebeb7        |
|WSQN        |88.1  MHz |FM |201 |DA  |-                   |B1 |-  |LIC    |GREENE                   |NY |US |BLED-20181029AAV    |-.     kW |4.5    kW |0.0     |182.0   |171732     |N |42 |26 |13.2  |W |75  |30 |48.6  |WSKG PUBLIC TELECOMMUNICATIONS COUNCIL                                      |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|604.   m|122713    |0.      |-       |28.    m|1798149   |1fae6888f71a47ce9b82c1b6063ebeb7        |
|W201CD      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |ITHACA                   |NY |US |BLFT-20140506AFJ    |0.245  kW |0.245  kW |1.0     |0.0     |88637      |N |42 |26 |45.2  |W |76  |32 |13.7  |ITHACA COMMUNITY RADIO, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |327.   m|327.0  m|16125     |70.     |-       |9.     m|1634492   |8b434fe808ca4cb29c51c1b6063ebeb7        |
|WUBJ        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |JAMESTOWN                |NY |US |BLED-20010308AAH    |2.7    kW |2.7    kW |152.0   |152.0   |63120      |N |42 |10 |47.2  |W |79  |20 |28.2  |WESTERN NEW YORK PUBLIC BROADCASTING ASSOCIATION                            |   0.00 km |   0.00 mi |  0.00 deg |605.   m|605.0  m|37223     |0.      |1217738 |69.    m|540602    |1e904be9a3f147ed967ec1b6063ebeb7        |
