|WDIY        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |ALLENTOWN                |PA |US |BLED-20151123CUH    |-.     kW |0.3    kW |0.0     |257.0   |36992      |N |40 |33 |52.4  |W |75  |26 |23.7  |LEHIGH VALLEY COMMUNITY BROADCASTERS ASSOCIATION                            |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|408.   m|118623    |0.      |1031215 |123.5  m|1706194   |a177150704db4843b076c1b6063ebeb7        |
|WYSP        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |DUSHORE                  |PA |US |BLED-20110511AFH    |0.1    kW |0.1    kW |-22.6   |-22.6   |177289     |N |41 |31 |33.2  |W |76  |24 |33.7  |TELIKOJA EDUCATIONAL BROADCASTING INC.                                      |   0.00 km |   0.00 mi |  0.00 deg |505.   m|505.0  m|-         |-       |-       |8.     m|1426935   |7698872baa7d44cb96d0c1b6063ebeb7        |
|WEFR        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |ERIE                     |PA |US |BMLED-20130530AMM   |0.63   kW |0.63   kW |131.0   |131.0   |20975      |N |41 |57 |59.2  |W |80  |6  |39.2  |FAMILY STATIONS, INC.                                                       |   0.00 km |   0.00 mi |  0.00 deg |497.   m|497.0  m|-         |-       |1026051 |76.    m|1556222   |4ac9ccec7d3446a2b99dc1b6063ebeb7        |
|WXTC        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |GREENVILLE               |PA |US |BLED-20130118ABI    |1.6    kW |-.     kW |-2.0    |0.0     |172901     |N |41 |24 |51.1  |W |80  |22 |49.2  |THIEL COLLEGE                                                               |   0.00 km |   0.00 mi |  0.00 deg |345.   m|0.0    m|-         |-       |-       |30.    m|1534600   |602fa71934d0450b885bc1b6063ebeb7        |
|WZXM        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |HARRISBURG               |PA |US |BLED-19950918KD     |0.54   kW |0.54   kW |32.0    |32.0    |66520      |N |40 |15 |44.3  |W |76  |53 |9.9   |FOUR RIVERS COMMUNITY BROADCASTING CORP.                                    |   0.00 km |   0.00 mi |  0.00 deg |178.   m|178.0  m|-         |-       |-       |77.    m|213825    |fd315aaa4e3c4e1eb332c1b6063ebeb7        |
|WHHN        |88.1  MHz |FM |201 |DA  |-                   |B1 |-  |LIC    |HOLLIDAYSBURG            |PA |US |BLED-20080523ADH    |0.85   kW |0.67   kW |412.1   |412.1   |91685      |N |40 |29 |19.3  |W |78  |21 |19.0  |RADIO MARIA, INC.                                                           |   0.00 km |   0.00 mi |  0.00 deg |841.2  m|841.2  m|80982     |0.      |1027253 |70.1   m|1245565   |e12a87655c5a4450a2b5c1b6063ebeb7        |
|W201DO      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |MILFORD                  |PA |US |BLFT-20140915AAI    |0.055  kW |0.055  kW |0.0     |0.0     |156320     |N |41 |20 |10.3  |W |74  |47 |43.5  |CHARLES WILLIAMSON                                                          |   0.00 km |   0.00 mi |  0.00 deg |266.   m|266.0  m|119291    |0.      |-       |57.    m|1650463   |347d158be6984a3180b8c1b6063ebeb7        |
|WKGO        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |MURRYSVILLE              |PA |US |BLED-20050413AAM    |0.001  kW |1.     kW |92.0    |92.0    |26527      |N |40 |31 |12.2  |W |79  |39 |28.1  |BROADCAST EDUCATIONAL COMMUNICATIONS, INC.                                  |   0.00 km |   0.00 mi |  0.00 deg |432.   m|432.0  m|69519     |0.      |-       |54.    m|1057428   |f4c1503b933c4cb1b414c1b6063ebeb7        |
|WBGM        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |NEW BERLIN               |PA |US |BLED-19960823KA     |0.55   kW |0.55   kW |127.0   |127.0   |43663      |N |40 |53 |27.3  |W |76  |59 |52.9  |MONTROSE BROADCASTING CORPORATION                                           |   0.00 km |   0.00 mi |  0.00 deg |335.   m|335.0  m|14772     |0.      |-       |34.    m|231408    |517bfa21a20842e88c17c1b6063ebeb7        |
|WPEB        |88.1  MHz |FM |201 |ND  |-                   |D  |-  |LIC    |PHILADELPHIA             |PA |US |BLED-20170802ABB    |-.     kW |0.01   kW |0.0     |21.0    |71637      |N |39 |56 |53.7  |W |75  |13 |7.5   |SCRIBE VIDEO CENTER, INC.                                                   |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|53.    m|-         |-       |-       |23.    m|1760308   |de08cb0da05c4ebe9cf7c1b6063ebeb7        |
|WFCP        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |CP     |PINE GROVE               |PA |US |0000210188          |0.025  kW |0.2    kW |196.0   |196.0   |763335     |N |40 |30 |23.7  |W |76  |22 |35.6  |CALVARY CHAPEL BIBLE BROADCASTING                                           |   0.00 km |   0.00 mi |  0.00 deg |420.   m|420.0  m|1006063   |0.      |-       |46.    m|210188    |25076f9185f529c40185f93755e20026        |
|WRQV        |88.1  MHz |FM |201 |DA  |-                   |B1 |-  |LIC    |RIDGWAY                  |PA |US |BLED-20110914AAG    |2.1    kW |2.1    kW |249.0   |249.0   |175421     |N |41 |14 |49.2  |W |78  |38 |50.0  |INVISIBLE ALLIES MINISTRIES                                                 |   0.00 km |   0.00 mi |  0.00 deg |780.   m|780.0  m|103964    |0.      |-       |58.    m|1444139   |90cef715c2124068ad89c1b6063ebeb7        |
|WSRU        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |SLIPPERY ROCK            |PA |US |BLED-19910415KA     |0.1    kW |0.1    kW |24.0    |24.0    |60619      |N |41 |3  |43.2  |W |80  |2  |34.2  |SLIPPERY ROCK STUDENT GOVERNMENT ASSOCIATION, INC.                          |   0.00 km |   0.00 mi |  0.00 deg |413.   m|413.0  m|-         |-       |-       |31.    m|159274    |6794c760c2354eb694cbc1b6063ebeb7        |
|WRGN        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |SWEET VALLEY             |PA |US |BLED-19890518KA     |0.5    kW |0.5    kW |92.0    |92.0    |24681      |N |41 |17 |54.2  |W |76  |7  |26.7  |GOOD NEWS FOR LIFE                                                          |   0.00 km |   0.00 mi |  0.00 deg |503.   m|503.0  m|-         |-       |-       |69.    m|128759    |cfd511f81d724eda97ecc1b6063ebeb7        |
|WZZD        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |WARWICK                  |PA |US |BLED-20090903ADK    |0.001  kW |0.43   kW |185.0   |185.0   |91617      |N |40 |7  |45.4  |W |75  |52 |41.8  |FOUR RIVERS COMMUNITY BROADCASTING CORP.                                    |   0.00 km |   0.00 mi |  0.00 deg |372.   m|372.0  m|91065     |100.    |1032936 |59.    m|1331260   |827124887d384e1aa511c1b6063ebeb7        |
|WKWP        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |WILLIAMSPORT             |PA |US |BLED-20151207ABX    |0.55   kW |0.55   kW |27.0    |27.0    |52188      |N |41 |15 |44.0  |W |77  |1  |59.0  |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |315.   m|315.0  m|-         |-       |1049889 |65.    m|1688881   |d35b2d7eaa424b6c98c0c1b6063ebeb7        |
|WVYC        |88.1  MHz |FM |201 |ND  |-                   |D  |-  |LIC    |YORK                     |PA |US |BLED-1638           |0.036  kW |-.     kW |-21.3   |0.0     |74381      |N |39 |56 |49.3  |W |76  |43 |45.8  |YORK COLLEGE OF PENNSYLVANIA                                                |   0.00 km |   0.00 mi |  0.00 deg |148.   m|0.0    m|-         |-       |-       |24.    m|288998    |050517dcdd7044c7b049c1b6063ebeb7        |
|W202CK      |88.3  MHz |FX |202 |ND  |-                   |D  |-  |LIC    |BUTLER                   |PA |US |0000177526          |0.013  kW |0.013  kW |0.0     |0.0     |147791     |N |40 |52 |28.0  |W |79  |54 |10.0  |FAMILY LIFE MINISTRIES, INC                                                 |   0.00 km |   0.00 mi |  0.00 deg |480.2  m|480.2  m|122486    |-       |1027123 |91.    m|177526    |25076ff37dc5852f017dcaed13ce0433        |
|WDCV-FM     |88.3  MHz |FM |202 |ND  |-                   |A  |-  |LIC    |CARLISLE                 |PA |US |BMLED-20121120AHI   |0.45   kW |-.     kW |-13.0   |0.0     |68238      |N |40 |12 |9.3   |W |77  |11 |44.9  |TRUSTEES OF DICKINSON COLLEGE                                               |   0.00 km |   0.00 mi |  0.00 deg |169.   m|0.0    m|-         |-       |-       |25.    m|1526638   |7cc0529fdb9d4180835cc1b6063ebeb7        |
|WZXQ        |88.3  MHz |FM |202 |DA  |-                   |A  |-  |LIC    |CHAMBERSBURG             |PA |US |BLED-20050830ADO    |0.11   kW |0.11   kW |352.0   |352.0   |93044      |N |39 |57 |40.3  |W |77  |28 |31.0  |FOUR RIVERS COMMUNITY BROADCASTING CORP.                                    |   0.00 km |   0.00 mi |  0.00 deg |725.   m|725.0  m|65405     |0.      |1027383 |100.   m|1082239   |c8f88421311c469d83e9c1b6063ebeb7        |
