District,2020 Population,Representative,Home County,Representative Party,Registered Voters,Registered Democrats,Registered Republicans,Registered Independents,Registered Other,Website,Square Miles
131,24946,Milou Mackenzie,Northampton,R,16727,5649,8319,198,2561,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?districtnumber=131,492.5008076
146,64846,Joseph Ciresi,Montgomery,D,42617,19581,15581,479,6976,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?districtnumber=146,419.2868909
147,65655,Donna Scheuren,Montgomery,R,46495,16241,22826,474,6954,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?districtnumber=147,1022.465604
148,63574,Mary Jo Daley,Montgomery,D,48402,29780,11606,416,6600,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?districtnumber=148,322.9692214
149,64379,Timothy Briggs,Montgomery,D,45424,25057,12546,455,7366,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?districtnumber=149,301.2982421
150,63744,Joseph Webster,Montgomery,D,43914,19175,16973,504,7262,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?districtnumber=150,427.3053554
151,63736,Melissa Cerrato,Montgomery,D,47279,22645,16995,455,7184,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?districtnumber=151,342.508572
152,61335,Nancy Guenst,Montgomery,D,42373,21163,14753,435,6022,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?districtnumber=152,221.9716998
153,62287,Ben Sanchez,Montgomery,D,45475,25270,13865,416,5924,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?districtnumber=153,220.3541445
154,62985,Napolean Nelson,Montgomery,D,46461,32354,8330,402,5375,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?districtnumber=154,175.7914853
53,64685,Steven Malagari,Montgomery,D,41524,19136,15207,441,6740,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?districtnumber=53,230.1431507
54,63265,Greg Scott,Montgomery,D,35524,21049,8897,345,5233,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?districtnumber=54,142.0681072
61,63899,Liz Hanbidge,Montgomery,D,47692,22083,18074,564,6971,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?districtnumber=61,398.3749437
70,67217,Matthew Bradford,Montgomery,D,47404,21001,18719,553,7131,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?districtnumber=70,527.8713645
