Name	Party	District	Seat	Expires	County
David Argall	R	29	31	202	Schuykill
Ryan Aument	R	36	11	2026	Lancaster
Lisa Baker	R	20	15	2026	Luzern
Camera Bartolotta	R	46	14	2026	Washington
Lisa Boscola	D	18	28	2026	Northampton
James Brewster	D	45	49	2024	Allegheny
Michele Brooks	R	50	45	2026	Mercer
Rosemary Brown	R	40	4	2026	Monroe
Amanda Cappelletti	D	17	27	2024	Montgomery
Jarrett Coleman	R	16	32	2026	Lehigh
Maria Collett	D	12	37	2026	Montgomery
Carolyn Comitta	D	19	8	2024	Chester
Jay Costa	D	43	10	2024	Allegheny
Lynda Schlegel Culver	R	27	26	2024	Northumberland
Jimmy Dillon	D	5	40	2024	Philadelphia
John Disanto	R	15	42	2024	Dauphin
Cris Dush	R	25	34	2024	Jefferson
Frank Farry	R	6	3	2026	Bucks
Marty Flynn	D	22	50	2026	Lackawanna
Wayne Fontana	D	42	19	2026	Allegheny
Chris Gebhard	R	48	36	2026	Lebanon
Art Haywood	D	4	47	2026	Montgomery
Vincent Huges	D	7	20	2024	Philadelphia
Scott Hutchinson	R	21	33	2024	Venango
John Kane	D	9	38	2024	Chester
Timothy Kearnye	D	26	39	2026	Delaware
Wayne Langerholc Jr	R	35	5	2024	Cambria
Daniel Laughlin	R	49	21	2024	Erie
Scott Martin	R	13	12	2024	Lancaster
Doug Mastriano	R	33	44	2024	Franklin
Nick Miller	D	14	16	2026	Lehigh
Katie Muth	D	44	6	2026	Montgomery
Tracy Pennycuick	R	24	35	2026	Montgomery
Kristin Phillips-Hill	R	28	24	2026	York
Joe Pittman	R	41	1	2024	Indiana
Mike Regan	R	31	41	2024	York
Devlin Robinson	R	37	46	2024	Allegheny
Greg Rothman	R	34	22	2026	Cumberland
Steven Santarsiero	D	10	30	2026	Bucks
Nikil Savil	D	1	7	2024	Philadelphia
Judith Schwank	D	11	9	2024	Berks
Patrick Stefano	R	32	13	2026	Fayette
Sharif Street	D	3	29	2024	Philadelphia
Christine Tartaglione	D	2	48	2026	Philadelphia
Elder A Vogel Jr	R	47	43	2024	Beaver
Judy Ward	R	30	25	2026	Blair
Kim Ward	R	39	2	2024	Westmoreland
Anthony Williams	D	8	18	2026	Philadelphia
Lindsey Williams	D	38	17	2026	Allegheny
Gene Yaw	R	23	23	2024	Lycoming
