County	Location	Last Update	Total Employees	Full Time Sworn Officers	Part Time Sworn Officers	Full Time Civilians	Part Time Civilians	Chief Name	Pennsylvania Chief of Police Association Accreditation	Acreditation Date	Police Chief Degree From	Officer Contact Info listed	Budget	Notes	Address	Phone Number
Montgomery	Abington	1/19/2022	123	96		27		Patrick Molloy	Y						1166 Old York Road Abington, PA 19001	267-536-1100
Montgomery	Ambler	1/19/2022	21	12		2	7	JEFFREY BORKOWSKI	N						122 East Butler Avenue Ambler, PA 19002	215-646-1000 ext. 103
Montgomery	Bridgeport	1/19/2022	14	8		6		Todd J. Bereda	N						63 W. 4th Street Bridgeport, PA 19405	610-272-5660
Montgomery	Bryn Athyn	1/19/2022	7	5		1	1	Stephen M. Gray	N					Note: # officers from a photo	2825 Buck Road Bryn Athyn, PA 19009	215-947-0118
Montgomery	Cheltenham	1/19/2022	106	73		11	22	John Slavin	Y					conflict between websites	8230 Old York Road Elkins Park, PA 19027	215-885-1600 ext. 460
Montgomery	Collegeville	1/19/2022	9	8		1	0	Barton Bucher	N						491 E. Main Street Collegeville, PA 19426	610-489-0192
Montgomery	Conshohocken	1/19/2022	20	16		3	1	George Metz	N						720 Fayette St. Conshohocken, PA 19428	610-828-4032
Montgomery	Douglass	1/19/2022	13	11		1	1	Barry L Templin, Jr	Y						1320 E.Philadelphia Ave. Gilbertsville, PA 19525	610-367-0466
Montgomery	East Norriton	1/19/2022	26	23		3	0	Phil Pulaski	Y						2501 Stanbridge Street Norristown, PA 19401	610-272-0748
Montgomery	Franconia	1/19/2022	13	10	1	1	1	Michael L. Martin	Y					conflict between sites	671 Allentown Road Telford, PA 18969	215-723-6777
Montgomery	Hatboro	1/20/2022	27	14		3	10	James Gardner	Y					this guy is also emergency coordinator	120 E. Montgomery Avenue Hatboro, PA 19040	215-675-4400
Montgomery	Hatfield	1/20/2022	38	26		5	7	William Tierney	Y						2000 School Road Hatfield, PA 19440	215-855-0903
Montgomery	Hilltown	2/25/2022							N							
Montgomery	Horsham	1/20/2022	48	41		7		Scott J. Fida	Y						1025 Horsham Road Horsham PA 19044	215-643-8284
Montgomery	Jenkintown	1/20/2022	20	11	2	6	1	Thomas Scott	Y			Y			700 Summit Avenue Jenkintown, PA 19046	215-884-1202
Montgomery	Lansdale	1/20/2022	35	25		3	7	Michael B. Trail	Y						1 Vine Street, Suite 101 Lansdale, PA 19446	215-368-1192
Montgomery	Limerick	1/20/2022	37	30		4	3	Robert J. Matalavage	N						646 West Ridge Pike Limerick, PA 19468	610-495-7909
Montgomery	Lower Frederick	1/20/2022	5	5				Paul E. Maxey	N						Box 253, 53 Spring Mount Rd. Zieglerville, PA 19492	610-489-9332
Montgomery	Lower Gwynedd	1/20/2022	19	18			1	Paul Kenny	Y						1130 N. Bethlehem Pike, Box 625 Spring House, PA 19477	215-646-5303
Montgomery	Lower Merion	1/20/2022	168	139		19	10	Michael J. McGrath	Y						71 East Lancaster Avenue Ardmore, PA 19003	610-649-1000
Montgomery	Lower Moreland	1/20/2022	33	29		4		David J. Scirrotto	N						640 Red Lion Road Huntingdon Valley PA 19006	215-947-3131
Montgomery	Lower Pottsgrove	1/20/2022	23	20		2	1	Richard Bell	N						2199 Buchert Road Pottstown PA 19464	610-326-1508
Montgomery	Lower Providence	1/20/2022	33	31		2		Michael Jackson	Y						100 Parklane Drive Eagleville, PA 19403	610-539-5901
Montgomery	Lower Salford	1/20/2022	21	19		2		Thomas A.Medwid	Y						379 Main Street Harleysville, PA 19438	215-256-9500
Montgomery	Marlborough	1/20/2022	84	66		11	7	Darren W. Morgan	N						6040 Upper Ridge Road Green Lane, PA 18054	215-234-4532
Montgomery	Montgomery	1/20/2022	54	36		9	9	Scott Bendig	Y						1001 Stump Road Montgomeryville, PA 18936	215-362-2301
Montgomery	Narberth	1/20/2022	10	6		1	3	N/A	N						100 Conway Avenue Narberth, PA 19072-0385	610-664-8160
Montgomery	New Hanover	1/20/2022	11	10		1		Jay Ciarlello	N		this guy has no email. flag for research				2943 N. Charlotte St. Gilbertsville, PA 19525	610-327-1150
