County	School District	Level Up	OSTCP Eligible	School District	Last Updated	Website	Number of Students	# of students in Special Ed	District Population	# of Elementary Schools	# Of Teachers	Number of Staff	% White Teachers	% White Students	% White Special Ed	% Black Students	% Black Special Ed	% Hispanic Students	% Hispanic Special Ed	% Asian Students	% Asian Special Ed	% Multiracial students	% Multiracial students in special Ed	Yearly Budgeted Expenses	Special Ed Budget	Special Ed Staff	Underfundedness per POWER Interfait			PA % Proficient in Math	PA % Proficient in Reading
Adams	Bermudian Springs	N	N	Bermudian Springs School District																											
Adams	Conewago Valley	N	N	Conewago Valley School District																											
Adams	Fairfield Area	N	N	Fairfield Area School District																											
Adams	Gettysburg Area	N	N	Gettysburg Area School District																											
Adams	Gettysburg Montessori Charter School	N	N	Gettysburg Montessori Charter School																											
Adams	Littlestown Area	N	N	Littlestown Area School District																											
Adams	Upper Adams	N	N	Upper Adams School District																											
Adams	Vida Charter School	N	N	Vida Charter School																											
Allegheny	A W Beattie Career Center	N	N	A W Beattie Career Center		https://penndata.hbg.psu.edu/Public-Reporting/Data-at-a-Glance																									
Allegheny	Academy Cs	N	N	Academy Cs																											
Allegheny	Allegheny Valley	N	N	Allegheny Valley School District																											
Allegheny	Avonworth	N	N	Avonworth School District																											
Allegheny	Baldwin-Whitehall	N	N	Baldwin-Whitehall School District																											
Allegheny	Bethel Park	N	N	Bethel Park School District																											
Allegheny	Brentwood Borough	N	N	Brentwood Borough School District																											
Allegheny	Carlynton	N	N	Carlynton School District																											
Allegheny	Chartiers Valley	N	N	Chartiers Valley School District																											
Allegheny	City Chs	N	N	City Chs																											
Allegheny	Clairton City	Y	Y	Clairton City School District																											
Allegheny	Cornell	N	Y	Cornell School District																											
Allegheny	Deer Lakes	N	N	Deer Lakes School District																											
Allegheny	Duquesne City	Y	Y	Duquesne City School District																											
Allegheny	East Allegheny	Y	Y	East Allegheny School District																											
Allegheny	Elizabeth Forward	N	N	Elizabeth Forward School District																											
Allegheny	Environmental Charter School At Frick Park	N	N	Environmental Charter School At Frick Park																											
Allegheny	Forbes Road Career And Technical Center	N	N	Forbes Road Career And Technical Center																											
Allegheny	Fox Chapel Area	N	N	Fox Chapel Area School District																											
Allegheny	Gateway	N	N	Gateway School District																											
Allegheny	Hampton Township	N	N	Hampton Township School District																											
Allegheny	Highlands	N	N	Highlands School District																											
Allegheny	Hill House Passport Academy Charter School	N	N	Hill House Passport Academy Charter School																											
Allegheny	Keystone Oaks	N	N	Keystone Oaks School District																											
Allegheny	Manchester Academic Cs	N	N	Manchester Academic Cs																											
Allegheny	Mckeesport Area	Y	Y	Mckeesport Area School District																											
Allegheny	Mckeesport Area Technical Ctr	N	N	Mckeesport Area Technical Ctr																											
Allegheny	Montour	N	N	Montour School District																											
Allegheny	Moon Area	N	N	Moon Area School District																											
Allegheny	Mt Lebanon	N	N	Mt Lebanon School District																											
Allegheny	North Allegheny	N	N	North Allegheny School District																											
Allegheny	North Hills	N	N	North Hills School District																											
Allegheny	Northgate	N	N	Northgate School District																											
Allegheny	Parkway West Career And Technical Center	N	N	Parkway West Career And Technical Center																											
Allegheny	Penn Hills	N	Y	Penn Hills School District																											
Allegheny	Penn Hills Charter School For Entrepreneurship	N	N	Penn Hills Charter School For Entrepreneurship																											
Allegheny	Pennsylvania Distance Learning Cs	N	N	Pennsylvania Distance Learning Cs																											
Allegheny	Pine-Richland	N	N	Pine-Richland School District																											
Allegheny	Pittsburgh	N	Y	Pittsburgh School District																											
Allegheny	Plum Borough	N	N	Plum Borough School District																											
Allegheny	Propel Charter School - Hazelwood	N	N	Propel Charter School - Hazelwood																											
Allegheny	Propel Cs-Braddock Hills	N	N	Propel Cs-Braddock Hills																											
Allegheny	Propel Cs-East	N	N	Propel Cs-East																											
Allegheny	Propel Cs-Homestead	N	N	Propel Cs-Homestead																											
Allegheny	Propel Cs-Mckeesport	N	N	Propel Cs-Mckeesport																											
Allegheny	Propel Cs-Montour	N	N	Propel Cs-Montour																											
Allegheny	Propel Cs-Northside	N	N	Propel Cs-Northside																											
Allegheny	Propel Cs-Pitcairn	N	N	Propel Cs-Pitcairn																											
Allegheny	Provident Cs	N	N	Provident Cs																											
Allegheny	Quaker Valley	N	N	Quaker Valley School District																											
Allegheny	Riverview	N	N	Riverview School District																											
Allegheny	Shaler Area	N	N	Shaler Area School District																											
Allegheny	South Allegheny	Y	N	South Allegheny School District																											
Allegheny	South Fayette Township	N	N	South Fayette Township School District																											
Allegheny	South Park	N	N	South Park School District																											
Allegheny	Spectrum Cs	N	N	Spectrum Cs																											
Allegheny	Steel Center for Career and Technical Education	N	N	Steel Center for Career and Technical Education																											
Allegheny	Steel Valley	Y	N	Steel Valley School District																											
Allegheny	Sto-Rox	Y	Y	Sto-Rox School District																											
Allegheny	Upper Saint Clair	N	N	Upper Saint Clair School District																											
Allegheny	Urban League Of Greater Pittsburgh Cs	N	N	Urban League Of Greater Pittsburgh Cs																											
Allegheny	Urban Pathways 6-12 Cs	N	N	Urban Pathways 6-12 Cs																											
Allegheny	Urban Pathways K-5 College Charter School	N	N	Urban Pathways K-5 College Charter School																											
Allegheny	West Allegheny	N	N	West Allegheny School District																											
Allegheny	West Jefferson Hills	N	N	West Jefferson Hills School District																											
Allegheny	West Mifflin Area	N	N	West Mifflin Area School District																											
Allegheny	Westinghouse Arts Academy Charter School	N	N	Westinghouse Arts Academy Charter School																											
Allegheny	Wilkinsburg Borough	Y	N	Wilkinsburg Borough School District																											
Allegheny	Woodland Hills	Y	Y	Woodland Hills School District																											
Allegheny	Young Scholars of McKeesport Charter School	N	N	Young Scholars of McKeesport Charter School																											
Allegheny	Young Scholars Of Western Pennsylvania Cs	N	N	Young Scholars Of Western Pennsylvania Cs																											
Armstrong	Apollo-Ridge	N	N	Apollo-Ridge School District																											
Armstrong	Armstrong	N	N	Armstrong School District																											
Armstrong	Leechburg Area	N	N	Leechburg Area School District																											
Armstrong	Lenape Technical	N	N	Lenape Technical																											
Beaver	Aliquippa	Y	Y	Aliquippa School District																											
Beaver	Ambridge Area	N	Y	Ambridge Area School District																											
Beaver	Baden Academy Cs	N	N	Baden Academy Cs																											
Beaver	Beaver Area	N	N	Beaver Area School District																											
Beaver	Beaver Area Academic Cs	N	N	Beaver Area Academic Cs																											
Beaver	Beaver County Career And Technical Center	N	N	Beaver County Career And Technical Center																											
Beaver	Big Beaver Falls Area	Y	N	Big Beaver Falls Area School District																											
Beaver	Blackhawk	N	N	Blackhawk School District																											
Beaver	Central Valley	N	N	Central Valley School District																											
Beaver	Freedom Area	Y	N	Freedom Area School District																											
Beaver	Hopewell Area	N	N	Hopewell Area School District																											
Beaver	Lincoln Park Performing Arts Cs	N	N	Lincoln Park Performing Arts Cs																											
Beaver	Midland Borough	Y	N	Midland Borough School District																											
Beaver	New Brighton Area	Y	N	New Brighton Area School District																											
Beaver	Pennsylvania Cyber Cs	N	N	Pennsylvania Cyber Cs																											
Beaver	Riverside Beaver County	N	N	Riverside Beaver County School District																											
Beaver	Rochester Area	Y	Y	Rochester Area School District																											
Beaver	South Side Area	N	N	South Side Area School District																											
Beaver	Western Beaver County	N	N	Western Beaver County School District																											
Bedford	Bedford Area	N	N	Bedford Area School District																											
Bedford	Bedford County Technical Center	N	N	Bedford County Technical Center																											
Bedford	Chestnut Ridge	N	N	Chestnut Ridge School District																											
Bedford	Everett Area	Y	N	Everett Area School District																											
