name,lat,lng,certainty,facet,facetvalue
,,,,Police Department,Montgomery - Ambler,
,,,,Police Department,Montgomery - Lansdale,
,,,,Police Department,Montgomery - Hatfield,
,,,,Police Department,Montgomery - Montgomery,
,,,,Police Department,Montgomery - North Wales,
,,,,Police Department,Montgomery - Upper Gwynedd,
,,,,Police Department,Montgomery - Lower Gwynedd,
,,,,Police Department,Montgomery - Upper Dublin,
,,,,Police Department,Montgomery - Whitpain,
,,,,Police Department,Montgomery - Towamencin,
