County	Municipality	Updated	2020	2010	Percent Change	Environmental Action Communitee	Human Rights Comittee	Municipal Class	Square Miles	Website
Montgomery	Abington Township	2/12/2023	58502	55310	5.7711083	Unknown	Unknown	1st Class Township	15.49899457	http://www.abington.org
Montgomery	Ambler Borough	2/12/2023	6807	6417	6.07760636	Y	Y	Borough	0.85103411	http://www.Boroughofambler.com
Montgomery	Bridgeport Borough	2/12/2023	5015	4554	10.1229688	Unknown	Unknown	Borough	0.69874856	http://Boroughofbridgeport.com/
Montgomery	Bryn Athyn Borough	2/12/2023	1272	1375	-7.4909091	Unknown	Unknown	Borough	1.94605224	http://brynathynboro.org/
Montgomery	Cheltenham Township	2/12/2023	37452	36793	1.79110157	Unknown	Unknown	1st Class Township	9.02695295	http://cheltenhamTownship.org/
Montgomery	Collegeville Borough	2/12/2023	5043	5089	-0.9039104	Unknown	Unknown	Borough	1.61478792	http://www.collegeville-pa.gov/
Montgomery	Conshohocken Borough	2/12/2023	9261	7833	18.230563	Unknown	Unknown	Borough	1.04506454	http://www.conshohockenpa.gov/
Montgomery	Douglass Township	2/12/2023	10585	10195	3.82540461	Unknown	Unknown	2nd Class Township	15.29270141	http://www.douglassTownship.org/
Montgomery	East Greenville Borough	2/12/2023	3166	2951	7.28566588	Unknown	Unknown	Borough	0.51404843	http://egreenville.org/
Montgomery	East Norriton Township	2/12/2023	14021	13590	3.1714496	Unknown	Unknown	2nd Class Township	6.08399074	http://www.eastnorritontwp.org/
Montgomery	Franconia Township	2/12/2023	13259	13064	1.49265156	Unknown	Unknown	2nd Class Township	13.88206264	http://www.franconiaTownship.org/
Montgomery	Green Lane Borough	2/12/2023	490	508	-3.5433071	Unknown	Unknown	Borough	0.32924616	https://www.facebook.com/Green-Lane-Borough-772161016250729/
Montgomery	Hatboro Borough	2/12/2023	8238	7360	11.9293478	Unknown	Unknown	Borough	1.41593918	http://www.hatborogov.org/
Montgomery	Hatfield Borough	2/12/2023	3496	3290	6.26139818	Unknown	Unknown	Borough	0.63497649	http://www.hatfieldBorough.com/
Montgomery	Hatfield Township	2/12/2023	18640	17249	8.06423561	Unknown	Unknown	1st Class Township	9.93915468	http://hatfieldTownship.org/
Montgomery	Horsham Township	2/12/2023	26564	26147	1.59482923	Unknown	Unknown	2nd Class Township	17.31207751	http://www.horsham.org/
Montgomery	Jenkintown Borough	2/12/2023	4719	4422	6.71641791	Unknown	Unknown	Borough	0.58508704	http://jenkintownboro.com/
Montgomery	Lansdale Borough	2/12/2023	18773	16269	15.3912349	Unknown	Unknown	Borough	2.99430387	http://www.lansdale.org/
Montgomery	Limerick Township	2/12/2023	20458	18074	13.190218	Unknown	Unknown	2nd Class Township	22.77567358	http://limerickpa.org/
Montgomery	Lower Frederick Township	2/12/2023	4830	4840	-0.2066116	Unknown	Unknown	2nd Class Township	8.19041526	http://www.lowerfrederick.org/
Montgomery	Lower Gwynedd Township	2/12/2023	12076	11405	5.88338448	Y	Y	2nd Class Township	9.30644988	http://lowergwynedd.org/
Montgomery	Lower Merion Township	2/12/2023	63633	57825	10.0440986	Unknown	Unknown	1st Class Township	23.82442988	http://www.lowermerion.org/
Montgomery	Lower Moreland Township	2/12/2023	13917	12982	7.20228008	Unknown	Unknown	1st Class Township	7.26881405	http://www.lowermoreland.org/
Montgomery	Lower Pottsgrove Township	2/12/2023	12217	12059	1.31022473	Unknown	Unknown	1st Class Township	8.00674589	http://www.lowerpottsgrove.org/
Montgomery	Lower Providence Township	2/12/2023	25625	25436	0.74304136	Unknown	Unknown	2nd Class Township	15.46270571	http://www.lowerprovidence.org/
Montgomery	Lower Salford Township	2/12/2023	15896	14959	6.26378769	Unknown	Unknown	2nd Class Township	14.63419046	http://www.lowersalfordTownship.org/
Montgomery	MarlBorough Township	2/12/2023	3520	3178	10.7614852	Unknown	Unknown	2nd Class Township	12.74484249	http://marlBoroughpa.org/
Montgomery	Montgomery Township	2/12/2023	25862	24790	4.32432432	Unknown	Unknown	2nd Class Township	10.64155345	http://www.montgomerytwp.org/
Montgomery	Narberth Borough	2/12/2023	4492	4282	4.90425035	Unknown	Unknown	Borough	0.49377548	http://narberthBorough.com/
Montgomery	New Hanover Township	2/12/2023	12973	10939	18.5940214	Unknown	Unknown	2nd Class Township	21.60275191	http://www.newhanover-pa.org/
Montgomery	Norristown Borough	2/12/2023	35748	34324	4.14870062	Unknown	Unknown	Borough	3.62821676	http://www.norristown.org/
Montgomery	North Wales Borough	2/12/2023	3426	3229	6.10096005	Unknown	Unknown	Borough	0.58573468	http://northwalesBorough.org/home/
Montgomery	Pennsburg Borough	2/12/2023	3889	3843	1.19698152	Unknown	Unknown	Borough	0.79278061	http://www.pennsburg.us/
Montgomery	Perkiomen Township	2/12/2023	8959	9139	-1.9695809	Unknown	Unknown	2nd Class Township	4.94817112	http://www.perkiomenTownship.org/
Montgomery	Plymouth Township	2/12/2023	18256	16525	10.4750378	Unknown	Unknown	1st Class Township	8.5127867	http://www.plymouthTownship.org/
Montgomery	Pottstown Borough	2/12/2023	23433	22377	4.71913125	Unknown	Unknown	Borough	4.95311428	http://www.pottstown.org/
Montgomery	Red Hill Borough	2/12/2023	2496	2383	4.74192195	Unknown	Unknown	Borough	0.66866121	http://www.redhillBorough.org/
Montgomery	Rockledge Borough	2/12/2023	2638	2543	3.73574518	Unknown	Unknown	Borough	0.34748535	http://rockledgeBorough.org/
Montgomery	Royersford Borough	2/12/2023	4940	4752	3.95622896	Unknown	Unknown	Borough	0.80750651	http://royersfordBorough.org/
Montgomery	Salford Township	2/12/2023	3035	2504	21.2060703	Unknown	Unknown	2nd Class Township	9.50961578	http://salfordTownship.com/
Montgomery	Schwenksville Borough	2/12/2023	1296	1385	-6.4259928	Unknown	Unknown	Borough	0.39600876	http://schwenksvilleboro.org/
Montgomery	Skippack Township	2/12/2023	14389	13715	4.91432738	Unknown	Unknown	2nd Class Township	13.94384572	http://skippackTownship.org/
