Location,Last Update,Full Time Sworn Officers,Part Time Sworn Officers,Full Time Civilians,Part Time Civilians,Chief Name,Pennsylvania Chief of Police Association Accreditation
Abington,1/19/2022,96,,27,,Patrick Molloy,?
Ambler,1/19/2022,12,,2,7,JEFFREY BORKOWSKI,?
Bridgeport,1/19/2022,8,,6,,Todd J. Bereda,?
Bryn Athyn,1/19/2022,5,,1,1,Stephen M. Gray,?
Cheltenham,1/19/2022,73,,11,22,John Slavin,?
Collegeville,1/19/2022,8,,1,0,Barton Bucher,?
Conshohocken,1/19/2022,16,,3,1,George Metz,?
Douglass,1/19/2022,11,,1,1,Barry L Templin, Jr,Y
East Norriton,1/19/2022,23,,3,0,Phil Pulaski,?
Franconia,1/19/2022,10,1,1,1,Michael L. Martin,Y
Hatboro,1/20/2022,14,,3,10,James Gardner,?
Hatfield,1/20/2022,26,,5,7,William Tierney,?
Horsham,1/20/2022,41,,7,,Scott J. Fida,?
Jenkintown,1/20/2022,11,2,6,1,Thomas Scott,Y
Lansdale,1/20/2022,25,,3,7,Michael B. Trail,?
Limerick,1/20/2022,30,,4,3,Robert J. Matalavage,?
Lower Frederick,1/20/2022,5,,,,Paul E. Maxey,?
Lower Gwynedd,1/20/2022,18,,,1,Paul Kenny,Y
Lower Merion,1/20/2022,139,,19,10,Michael J. McGrath,Y
Lower Moreland,1/20/2022,29,,4,,David J. Scirrotto,?
Lower Pottsgrove,1/20/2022,20,,2,1,Richard Bell,?
Lower Providence,1/20/2022,31,,2,,Michael Jackson,Y
Lower Salford,1/20/2022,19,,2,,Thomas A.Medwid,?
Marlborough,1/20/2022,66,,11,7,Darren W. Morgan,?
Montgomery,1/20/2022,36,,9,9,Scott Bendig,Y
Narberth,1/20/2022,6,,1,3,N/A,?
New Hanover,1/20/2022,10,,1,,Jay Ciarlello,?
Norristown,1/20/2022,71,,10,,Michael Bishop,?
North Wales,1/20/2022,4,1,2,3,David Erenius,?
Plymouth,1/20/2022,4,,5,,John C. Myrsiades,?
Pottstown,1/20/2022,46,,13,,Michael Markovich,?
Rockledge,1/20/2022,7,8,,,John Gallagher,?
Royersford,1/20/2022,13,,1,1,Scot Fennelly,?
Schwenksville,1/20/2022,,,,,N/A - state police,?
Souderton,1/20/2022,5,,5,1,Megan M. Jarrell,?
Springfield,1/20/2022,36,,4,,Michael E. Pitkow,?
Telford,1/20/2022,6,,1,2,Randall S. Floyd,?
Towamencin,1/20/2022,22,,3,4,Timothy Troxel,?
Upper Dublin,1/20/2022,41,,8,13,Francis Wheatley,Y
Upper Gwynedd,1/21/2022,31,,3,,David Duffy,?
Upper Merion,1/21/2022,71,,19,,Thomas Nolan,?
Upper Moreland,1/21/2022,37,,12,2,Andrew J. Block,?
Upper Perk District,1/21/2022,9,,1,,Joseph Adam Jr.,?
Upper Pottsgrove,1/21/2022,9,,1,,James Fisher,?
Upper Providence,1/21/2022,13,3,1,,Mark Freeman,Y
West Conshohocken,1/21/2022,13,4,1,,Sal Carfagno,?
West Norriton,1/21/2022,27,,5,,MICHAEL KELLY,Y
West Pottsgrove,1/21/2022,8,3,,,Joseph F. Sokolofski,?
Whitemarsh,1/21/2022,39,,2,,Christopher Ward,?
Whitpain,1/21/2022,31,,7,,Kenneth Lawson,?
