Lea State,LEA,School State,School,ID,Year,Category,Instances,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,EL
PA,North Penn Sd,PA,Hatfield El Sch,421728005344,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,North Penn Sd,PA,Hatfield El Sch,421728005344,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,0.00,,5.00,0.00
PA,North Penn Sd,PA,Hatfield El Sch,421728005344,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,North Penn Sd,PA,Hatfield El Sch,421728005344,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,North Penn Sd,PA,Hatfield El Sch,421728005344,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,North Penn Sd,PA,Hatfield El Sch,421728005344,2000,Total enrollment,,0.00,145.00,,,30.00,40.00,465.00,,675.00,75.00
PA,Pottstown Sd,PA,Pottstown Shs,421968003348,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottstown Sd,PA,Pottstown Shs,421968003348,2000,Out-of-school suspension,,0.00,0.00,,,15.00,90.00,50.00,,160.00,0.00
PA,Pottstown Sd,PA,Pottstown Shs,421968003348,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottstown Sd,PA,Pottstown Shs,421968003348,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottstown Sd,PA,Pottstown Shs,421968003348,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottstown Sd,PA,Pottstown Shs,421968003348,2000,Total enrollment,,0.00,10.00,,,40.00,245.00,495.00,,790.00,0.00
PA,Pottstown Sd,PA,Lincoln El Sch,421968003341,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottstown Sd,PA,Lincoln El Sch,421968003341,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,5.00,,5.00,0.00
PA,Pottstown Sd,PA,Lincoln El Sch,421968003341,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottstown Sd,PA,Lincoln El Sch,421968003341,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottstown Sd,PA,Lincoln El Sch,421968003341,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottstown Sd,PA,Lincoln El Sch,421968003341,2000,Total enrollment,,0.00,0.00,,,25.00,120.00,300.00,,450.00,0.00
PA,Pottstown Sd,PA,Rupert El Sch,421968003342,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottstown Sd,PA,Rupert El Sch,421968003342,2000,Out-of-school suspension,,0.00,0.00,,,0.00,5.00,10.00,,20.00,0.00
PA,Pottstown Sd,PA,Rupert El Sch,421968003342,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottstown Sd,PA,Rupert El Sch,421968003342,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottstown Sd,PA,Rupert El Sch,421968003342,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottstown Sd,PA,Rupert El Sch,421968003342,2000,Total enrollment,,0.00,0.00,,,0.00,25.00,60.00,,90.00,0.00
PA,Lower Merion Sd,PA,Penn Valley Sch,421416003288,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Penn Valley Sch,421416003288,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
